央视,#genre#
澳視資訊,http://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳視體育,http://live5.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8
澳視綜藝,http://live5.tdm.com.mo/ch6/hd_ch6.live/playlist.m3u8
澳門蓮花,http://php.jdshipin.com/amlh.php
台湾,#genre#
TaiwanPlus,http://80tv.eu.org:8711/live.m3u8?c=1
TVBS HD,http://80tv.eu.org:8711/live.m3u8?c=2
TVBS HD,http://80story.eu.org:8880/IPTV/proxy.php?id=24
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS NEWS,http://80tv.eu.org:8711/live.m3u8?c=3
TVBS新聞台HD,http://80tv.eu.org:8711/live.m3u8?c=4
TVBS新聞台HD,http://80story.eu.org:8880/IPTV/AKTV.php?channel=0835bfb7282a805bd5e7cc7e660bc70a
TVBS新聞台HD,http://80story.eu.org:8880/IPTV/AKTV.php?channel=2b39940652cd3eaf666998e39cc41465
TVBS新聞台HD,http://80story.eu.org:8880/IPTV/proxy.php?id=25
中天新聞,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv009&sd=1080&proxy=true
中天新聞,http://80story.eu.org:8880/IPTV/AKTV.php?channel=18d40c8245b2bfc6ae1bf338a87c56d3
中天新聞,http://80tv.eu.org:8711/live.m3u8?c=5
中天新聞+,http://80tv.eu.org:8711/live.m3u8?c=6
寰宇新聞台,http://80story.eu.org:50000/index.m3u8?pid=litv-longturn14&sd=1080&proxy=true
寰宇新聞台,http://80tv.eu.org:8711/live.m3u8?c=8
寰宇新聞台,http://80story.eu.org:8880/IPTV/AKTV.php?channel=08869ac7209bac9ba4eaa44b882b5b2e
寰宇新聞LIVE,http://80tv.eu.org:8711/live.m3u8?c=9
寰宇財經台,http://80tv.eu.org:8711/live.m3u8?c=11
寰宇財經台,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv158&sd=1080&proxy=true
寰宇新聞台灣台,http://80story.eu.org:50000/index.m3u8?pid=4gtv-4gtv156&sd=1080&proxy=true
寰宇新聞台灣台,http://80tv.eu.org:8711/live.m3u8?c=10
東森新聞HD,http://80tv.eu.org:8711/live.m3u8?c=14
東森新聞51HD,http://80tv.eu.org:8711/live.m3u8?c=16
東森LIVE,http://80tv.eu.org:8711/live.m3u8?c=15
東森LIVE,http://80story.eu.org:8880/IPTV/AKTV.php?channel=f3bccfae5fba3f879667b4992d62685d
東森財經新聞HD,http://80tv.eu.org:8711/live.m3u8?c=17
東森財經股市HD,http://80tv.eu.org:8711/live.m3u8?c=18
三立新聞,http://80story.eu.org:8880/IPTV/proxy.php?id=11
三立iNEWS,http://80story.eu.org:50000/index.m3u8?pid=iNEWS&sd=1080&proxy=true
LIVE三立,http://80tv.eu.org:8711/live.m3u8?c=20
